2018/12/26 14:50:34.430 [D]  init logger succ
2018/12/26 15:02:07.334 [D]  init logger succ
2018/12/26 15:55:33.496 [D]  init logger succ
2018/12/26 15:55:34.249 [E]  init kafka failed ,err=kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:55:34.249 [E]  init kafka failed,err= kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:58:17.583 [D]  init logger succ
2018/12/26 15:58:18.335 [E]  init kafka failed ,err=kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:58:18.335 [E]  init kafka failed,err= kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 16:12:11.814 [D]  init logger succ
2018/12/26 16:12:11.829 [D]  initKafka succ
2018/12/26 16:12:11.856 [D]  init ES succ
2018/12/26 16:20:14.572 [D]  partition:7,offset:29,Key:,Value:2018/12/26 01:38:04.037 [D]  init all success
2018/12/26 16:20:14.587 [D]  partition:6,offset:42,Key:,Value:2018/12/26 01:21:55.363 [D]  initTailf success
2018/12/26 16:20:14.589 [D]  partition:4,offset:30,Key:,Value:2018/12/26 16:01:52.658 [D]  initTailf success
2018/12/26 16:20:14.601 [D]  partition:5,offset:35,Key:,Value:2018/12/26 01:38:04.037 [D]  test for logger 1
2018/12/26 16:20:14.607 [D]  partition:3,offset:29,Key:,Value:2018/12/26 01:52:25.049 [D]  load conf success,conf:&{debug /home/alan8254402/go/src/LCS/logsForTest/logAgent.log 100 192.168.76.139:9092 [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log}] 192.168.76.139:2379 /oldboy/backend/logagent/config/}
2018/12/26 16:20:14.632 [D]  partition:2,offset:48,Key:,Value:2018/12/26 01:52:25.071 [D]  init all success
2018/12/26 16:20:14.632 [D]  partition:1,offset:39,Key:,Value:2018/12/26 01:36:30.512 [D]  initTailf success
2018/12/26 16:20:14.639 [D]  partition:7,offset:30,Key:,Value:2018/12/26 01:52:32.074 [D]  test for logger 8
2018/12/26 16:20:14.646 [D]  partition:0,offset:34,Key:,Value:2018/12/26 01:52:45.085 [D]  test for logger 21
2018/12/26 16:20:14.654 [D]  partition:6,offset:43,Key:,Value:2018/12/26 01:36:30.510 [D]  load conf success,conf:&{debug /home/alan8254402/go/src/LCS/logsForTest/logAgent.log 100 192.168.76.139:9092 [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log}] 192.168.76.139:2379 /oldboy/backend/logagent/config/}
